INFO 2024-06-21 16:44:21,195 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-21 16:44:21,196 autoreload Waiting for apps ready_event.
DEBUG 2024-06-21 16:44:21,261 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-21 16:44:21,296 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-06-21 16:44:21,296 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django_filters/templates with glob **/*.
DEBUG 2024-06-21 16:44:21,297 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/repuestos/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,297 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,297 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,298 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,298 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/repuestos/api/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,298 autoreload Watching dir /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2024-06-21 16:44:21,366 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-21 16:44:21,369 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-21 16:44:21,415 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,415 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/text.py first seen with mtime 1718910845.2894766
DEBUG 2024-06-21 16:44:21,415 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/views/decorators/__init__.py first seen with mtime 1718910845.295665
DEBUG 2024-06-21 16:44:21,415 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/cache/backends/base.py first seen with mtime 1718910845.1435034
DEBUG 2024-06-21 16:44:21,416 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/test/testcases.py first seen with mtime 1718910845.2748752
DEBUG 2024-06-21 16:44:21,416 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_bz2.cpython-313-darwin.so first seen with mtime 1717606945.0
DEBUG 2024-06-21 16:44:21,416 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/repuestos/manage.py first seen with mtime 1718910336.5407264
DEBUG 2024-06-21 16:44:21,416 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/relations.py first seen with mtime 1718910847.034519
DEBUG 2024-06-21 16:44:21,416 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/sqlparse/formatter.py first seen with mtime 1718910843.6042886
DEBUG 2024-06-21 16:44:21,416 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/xml/dom/domreg.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,416 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,416 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/streams.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,416 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/models.py first seen with mtime 1718910845.22571
DEBUG 2024-06-21 16:44:21,417 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/reprlib.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,417 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/async_checks.py first seen with mtime 1718910845.1462123
DEBUG 2024-06-21 16:44:21,417 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/signals.py first seen with mtime 1718910845.1777022
